INFO  | 2025-04-07 12:34:02 | [main] service.LoggingAspect (LoggingAspect.java:23) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 4 ms
INFO  | 2025-04-07 12:34:34 | [main] service.LoggingAspect (LoggingAspect.java:23) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 5 ms
INFO  | 2025-04-07 12:35:39 | [main] service.LoggingAspect (LoggingAspect.java:25) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 4 ms
INFO  | 2025-04-07 12:35:56 | [main] service.LoggingAspect (LoggingAspect.java:25) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 4 ms
INFO  | 2025-04-07 12:36:14 | [main] service.LoggingAspect (LoggingAspect.java:25) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 6 ms
INFO  | 2025-04-07 12:36:14 | [main] service.LoggingAspect (LoggingAspect.java:25) - time taken by Account com.busycoder.service.AccountService.getById(int)is 0 ms
WARN  | 2025-04-07 15:37:18 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
WARN  | 2025-04-07 15:38:00 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
WARN  | 2025-04-07 15:38:44 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
WARN  | 2025-04-07 15:39:36 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: Pointcut is not well-formed: expecting ')' at character position 11
pointcut(* com.busycoder.service.*Impl.*(..))
           ^^^

WARN  | 2025-04-07 15:40:36 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'accountServiceImpl': Unsatisfied dependency expressed through field 'accountDao'; nested exception is org.springframework.beans.factory.NoUniqueBeanDefinitionException: No qualifying bean of type 'com.busycoder.dao.AccountDao' available: expected single matching bean but found 2: accountDaoImplJdbc,accountDaoImplMap
WARN  | 2025-04-07 15:42:04 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: Pointcut is not well-formed: expecting ')' at character position 11
pointcut(* com.busycoder.service.*Impl.*(..))
           ^^^

WARN  | 2025-04-07 15:42:38 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: Pointcut is not well-formed: expecting ')' at character position 11
pointcut(* com.busycoder.service.*.*(..))
           ^^^

WARN  | 2025-04-07 15:43:00 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: Pointcut is not well-formed: expecting ')' at character position 11
pointcut(* com.busycoder.service.*.*(..))
           ^^^

WARN  | 2025-04-07 15:44:20 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
WARN  | 2025-04-07 15:45:29 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfig': Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
ERROR | 2025-04-07 15:46:16 | [main] service.LoggingAspect (LoggingAspect.java:34) - exception thrown in is Cannot invoke "com.busycoder.entity.Account.getAmount()" because "accountFrom" is null
ERROR | 2025-04-07 15:46:34 | [main] service.LoggingAspect (LoggingAspect.java:34) - exception thrown is Cannot invoke "com.busycoder.entity.Account.getAmount()" because "accountFrom" is null
INFO  | 2025-04-14 13:53:46 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 3 ms
INFO  | 2025-04-14 13:53:46 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 0 ms
INFO  | 2025-04-14 15:00:53 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 407 ms
INFO  | 2025-04-14 15:10:56 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 402 ms
INFO  | 2025-04-14 15:11:08 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 345 ms
INFO  | 2025-04-14 15:15:32 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 448 ms
INFO  | 2025-04-14 15:15:32 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 16 ms
INFO  | 2025-04-14 15:15:57 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 454 ms
INFO  | 2025-04-14 15:15:57 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 17 ms
INFO  | 2025-04-14 15:16:26 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by void com.busycoder.service.AccountService.withdraw(int,double)is 387 ms
INFO  | 2025-04-14 15:16:26 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 15 ms
INFO  | 2025-04-14 15:23:57 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 602 ms
INFO  | 2025-04-14 15:32:46 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 537 ms
INFO  | 2025-04-14 15:33:01 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 510 ms
INFO  | 2025-04-14 15:38:44 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 520 ms
INFO  | 2025-04-14 15:38:44 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by void com.busycoder.service.AccountService.transfer(int,int,double)is 105 ms
INFO  | 2025-04-14 15:38:44 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by Account com.busycoder.service.AccountService.getById(int)is 20 ms
INFO  | 2025-04-14 15:39:09 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 544 ms
INFO  | 2025-04-14 15:39:09 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by void com.busycoder.service.AccountService.withdraw(int,double)is 74 ms
INFO  | 2025-04-14 15:40:10 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 463 ms
INFO  | 2025-04-14 17:24:28 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 32 ms
INFO  | 2025-04-14 17:25:47 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 16 ms
INFO  | 2025-04-14 17:26:31 | [main] service.LoggingAspect (LoggingAspect.java:27) - time taken by List com.busycoder.service.AccountService.getAllAccounts()is 17 ms
